Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Servo board controller","control servos",1,10.00,"https://www.amazon.com/PCA9685-Controller-Interface-Arduino-Raspberry/dp/B07WS5XY63/ref=sr_1_3?crid=PMMWL0FS1CWB&dib=eyJ2IjoiMSJ9.7ASL79J3ibvkecAwd9dE8AbVf1xN5PCacV7O09L-h4y4Dku-vr_-bjyau8kFDKeHhAwDUizZa2R8Xq9W7jlbj1WYgVwlPaj4nc8cEbEkd2-N_VfpBOIyi0A2QrreFEkZ-7nZLOhvzOe6JUrQm7uU56smWOxLj84_6SwbJsTV9TpGzZEWYjDxPFxmtW-8AnjIEvyRoF2ySd4h418M0OMePQKeO2TVS6IWh5YvPzt9P-A.RojAjiEUXcVLeyBxm9xzuEDwJMF2bQfiDeMUlrQ1Gr4&dib_tag=se&keywords=servo%2Bcontroller%2Bboard&qid=1778734111&sprefix=servo%2Bcontrolelr%2Bboar%2Caps%2C154&sr=8-3&th=1","Amazon"
"Mg90 Servo","Moving",1,27.00,"https://www.amazon.com/Motor-Metal-Helicopter-Servos-Arduino-Project/dp/B0DFXY714F/ref=sr_1_1?crid=GQ9QM7IWY096&dib=eyJ2IjoiMSJ9.fnJPGz8rpIPT6l5XOXCG-cfL5NiOmCBmVO8-e6PvOSURxvFYP2nnYAavBdRyMs80uUAtA8GnqSZvq64gmMNUDwHH9u3H2W4LD_RZXjwt2sCjPnPRhK4ffjiaw11pqn0UWFmooXtGmUEd9sh1F04dzKTN2Z9OZApnC0yeXRF_j-DMXpD95O3pT_GOZgYf0K-F_f6t445EUIGUPlWJYrV6UvwlmyV0uW6kHgKWsh2n_8C7Njz9L2f3aceFTPKFPY1yrLAI7HTiDwC8CIFitHfHsbYlASX9SGTarmUXflslpZ8.5s1BZxz8zlu11srqUG3-0k8noxet5oVutN8dk6fQzio&dib_tag=se&keywords=mg9-%2Bservo%2B10%2Bpack&qid=1778734094&sprefix=mg9-%2Bservo%2B10%2Bpac%2Caps%2C137&sr=8-1&th=1","Amazon"
